     time   lidar_F   lidar_R      gyro compass_x compass_y
   0.6950  4.458599  4.862360 -0.013020  0.968616 -0.000240
   0.7000  4.796977  4.450962 -0.016284  1.006842 -0.000296
   0.7050  4.544394  4.502091 -0.017451  1.012043 -0.000384
   0.7100  4.631720  4.591905 -0.019239  1.114114 -0.000470
   0.7150  4.886378  4.644533 -0.021212  0.974379 -0.000617
   0.7200  4.284500  4.560612 -0.020531  1.091934 -0.000623
   0.7250  5.105308  4.838763 -0.024231  1.026941 -0.000838
   0.7300  4.261385  4.913837 -0.022458  0.943337 -0.000934
   0.7350  4.699731  4.809233 -0.021724  1.002042 -0.001113
   0.7400  5.049059  4.481368 -0.023183  0.996631 -0.001129
   0.7450  5.131756  4.920848 -0.022621  1.020446 -0.001302
   0.7500  4.168028  4.691062 -0.024978  0.944392 -0.001455
   0.7550  4.777838  4.327177 -0.022069  0.964949 -0.001369
   0.7600  4.588132  4.482470 -0.025884  0.933228 -0.001704
   0.7650  4.902449  4.191626 -0.028473  1.011740 -0.001968
   0.7700  4.309669  4.481397 -0.027741  0.970993 -0.001909
   0.7750  4.621334  4.828352 -0.031056  1.026036 -0.002011
   0.7800  4.415731  4.659386 -0.031196  1.055250 -0.002301
   0.7850  4.697751  4.282476 -0.035384  1.010373 -0.002312
   0.7900  4.487710  4.606392 -0.036360  0.979207 -0.002780
   0.7950  4.445442  4.568956 -0.037186  1.047491 -0.002514
   0.8000  4.339012  4.922042 -0.040699  1.086406 -0.002881
   0.8050  4.735632  4.524101 -0.046829  1.017378 -0.003427
   0.8100  4.137948  4.494609 -0.049755  0.984870 -0.003406
   0.8150  4.551392  4.450873 -0.047946  0.965529 -0.003987
   0.8200  4.981245  4.743857 -0.053083  1.029492 -0.003573
   0.8250  4.511554  4.698250 -0.046605  0.982082 -0.004493
   0.8300  4.480117  4.577956 -0.048644  1.079841 -0.004520
   0.8350  4.542165  4.750434 -0.047381  1.021094 -0.004755
   0.8400  4.514750  4.981736 -0.049082  0.949208 -0.005632
   0.8450  4.430402  4.630964 -0.047585  1.037939 -0.005421
   0.8500  4.637553  4.907355 -0.052560  1.043129 -0.004998
   0.8550  4.705388  4.821570 -0.052553  1.045010 -0.005076
   0.8600  4.534662  4.584728 -0.047179  0.974619 -0.005618
   0.8650  4.414185  4.416100 -0.050142  1.023672 -0.006575
   0.8700  4.474196  4.939559 -0.047517  0.981341 -0.006342
   0.8750  4.257317  4.801686 -0.050646  1.049634 -0.006249
   0.8800  4.404691  4.484575 -0.048477  0.955032 -0.007099
   0.8850  5.124299  4.350299 -0.054099  1.004686 -0.006266
   0.8900  4.500360  4.671458 -0.053308  0.969077 -0.008359
   0.8950  4.471447  4.834971 -0.051357  1.011889 -0.007799
   0.9000  4.338217  4.676912 -0.048186  1.057052 -0.008114
   0.9050  4.033845  4.944980 -0.055231  1.026632 -0.008391
   0.9100  5.037593  4.657721 -0.050889  1.052413 -0.008384
   0.9150  4.440693  4.503387 -0.053159  0.916796 -0.009120
   0.9200  4.965457  4.324746 -0.056643  0.977730 -0.009014
   0.9250  4.813516  4.633366 -0.052734  1.074283 -0.009386
   0.9300  4.680036  4.610318 -0.061052  1.000909 -0.010638
   0.9350  4.774338  4.612122 -0.062191  0.982709 -0.010166
   0.9400  4.656649  4.474305 -0.056819  1.073031 -0.010561
   0.9450  4.592703  4.367642 -0.058016  1.021241 -0.010186
   0.9500  4.616933  4.929127 -0.058132  0.973511 -0.009791
   0.9550  4.390054  4.421038 -0.057442  0.882231 -0.011246
   0.9600  4.806214  4.734513 -0.057111  1.008291 -0.011319
   0.9650  4.482715  4.544568 -0.053202  0.911227 -0.011232
   0.9700  4.399399  4.665264 -0.057434  0.970893 -0.012062
   0.9750  4.586882  4.648933 -0.062289  1.048103 -0.011797
   0.9800  4.158385  4.449711 -0.060725  0.987428 -0.012537
   0.9850  4.760273  4.415146 -0.064244  0.907930 -0.013356
   0.9900  4.155237  4.560730 -0.064515  0.956037 -0.013728
   0.9950  4.868936  4.599071 -0.063604  1.043987 -0.013384
   1.0000  4.644030  4.639465 -0.069973  1.031370 -0.013904
   1.0050  4.568293  4.594635 -0.069903  0.915253 -0.014972
   1.0100  4.594342  4.804485 -0.063645  1.044054 -0.014914
   1.0150  4.456001  5.035625 -0.065272  0.936047 -0.014634
   1.0200  4.729398  4.742566 -0.072279  0.983837 -0.016529
   1.0250  4.797405  5.042349 -0.065950  0.953455 -0.016238
